GEO.id,GEO.id2,GEO.display-label,D002,D003,D004
Id,Id2,Geography,Average family size -- - Total:,Average family size -- - Total: - Under 18 years,Average family size -- - Total: - 18 years and over
1000000US120419501001000,120419501001000,"Block 1000, Block Group 1, Census Tract 9501, Gilchrist County, Florida",2.76,0.59,2.17
1000000US120419501001001,120419501001001,"Block 1001, Block Group 1, Census Tract 9501, Gilchrist County, Florida",2.36,0.18,2.18
1000000US120419501001002,120419501001002,"Block 1002, Block Group 1, Census Tract 9501, Gilchrist County, Florida",0.00,0.00,0.00
1000000US120419501001003,120419501001003,"Block 1003, Block Group 1, Census Tract 9501, Gilchrist County, Florida",0.00,0.00,0.00
1000000US120419501001004,120419501001004,"Block 1004, Block Group 1, Census Tract 9501, Gilchrist County, Florida",0.00,0.00,0.00
1000000US120419501001005,120419501001005,"Block 1005, Block Group 1, Census Tract 9501, Gilchrist County, Florida",2.78,0.78,2.00
1000000US120419501001006,120419501001006,"Block 1006, Block Group 1, Census Tract 9501, Gilchrist County, Florida",0.00,0.00,0.00
1000000US120419501001007,120419501001007,"Block 1007, Block Group 1, Census Tract 9501, Gilchrist County, Florida",0.00,0.00,0.00
1000000US120419501001008,120419501001008,"Block 1008, Block Group 1, Census Tract 9501, Gilchrist County, Florida",0.00,0.00,0.00
1000000US120419501001009,120419501001009,"Block 1009, Block Group 1, Census Tract 9501, Gilchrist County, Florida",2.00,0.00,2.00
1000000US120419501001010,120419501001010,"Block 1010, Block Group 1, Census Tract 9501, Gilchrist County, Florida",2.00,0.00,2.00
1000000US120419501001011,120419501001011,"Block 1011, Block Group 1, Census Tract 9501, Gilchrist County, Florida",3.00,0.78,2.22
1000000US120419501001012,120419501001012,"Block 1012, Block Group 1, Census Tract 9501, Gilchrist County, Florida",0.00,0.00,0.00
1000000US120419501001013,120419501001013,"Block 1013, Block Group 1, Census Tract 9501, Gilchrist County, Florida",0.00,0.00,0.00
1000000US120419501001014,120419501001014,"Block 1014, Block Group 1, Census Tract 9501, Gilchrist County, Florida",2.50,0.50,2.00
1000000US120419501001015,120419501001015,"Block 1015, Block Group 1, Census Tract 9501, Gilchrist County, Florida",0.00,0.00,0.00
1000000US120419501001016,120419501001016,"Block 1016, Block Group 1, Census Tract 9501, Gilchrist County, Florida",2.40,0.40,2.00
1000000US120419501001017,120419501001017,"Block 1017, Block Group 1, Census Tract 9501, Gilchrist County, Florida",0.00,0.00,0.00
1000000US120419501001018,120419501001018,"Block 1018, Block Group 1, Census Tract 9501, Gilchrist County, Florida",0.00,0.00,0.00
1000000US120419501001019,120419501001019,"Block 1019, Block Group 1, Census Tract 9501, Gilchrist County, Florida",2.00,0.00,2.00
1000000US120419501001020,120419501001020,"Block 1020, Block Group 1, Census Tract 9501, Gilchrist County, Florida",2.00,0.00,2.00
1000000US120419501001021,120419501001021,"Block 1021, Block Group 1, Census Tract 9501, Gilchrist County, Florida",0.00,0.00,0.00
1000000US120419501001022,120419501001022,"Block 1022, Block Group 1, Census Tract 9501, Gilchrist County, Florida",0.00,0.00,0.00
1000000US120419501001023,120419501001023,"Block 1023, Block Group 1, Census Tract 9501, Gilchrist County, Florida",0.00,0.00,0.00
1000000US120419501001024,120419501001024,"Block 1024, Block Group 1, Census Tract 9501, Gilchrist County, Florida",0.00,0.00,0.00
1000000US120419501001025,120419501001025,"Block 1025, Block Group 1, Census Tract 9501, Gilchrist County, Florida",0.00,0.00,0.00
1000000US120419501001026,120419501001026,"Block 1026, Block Group 1, Census Tract 9501, Gilchrist County, Florida",2.94,0.72,2.22
1000000US120419501001027,120419501001027,"Block 1027, Block Group 1, Census Tract 9501, Gilchrist County, Florida",0.00,0.00,0.00
1000000US120419501001028,120419501001028,"Block 1028, Block Group 1, Census Tract 9501, Gilchrist County, Florida",2.50,0.75,1.75
1000000US120419501001029,120419501001029,"Block 1029, Block Group 1, Census Tract 9501, Gilchrist County, Florida",0.00,0.00,0.00
