GEO.id,GEO.id2,GEO.display-label,D002,D003,D004
Id,Id2,Geography,Average family size -- - Total:,Average family size -- - Total: - Under 18 years,Average family size -- - Total: - 18 years and over
1000000US120130101001000,120130101001000,"Block 1000, Block Group 1, Census Tract 101, Calhoun County, Florida",0.00,0.00,0.00
1000000US120130101001001,120130101001001,"Block 1001, Block Group 1, Census Tract 101, Calhoun County, Florida",0.00,0.00,0.00
1000000US120130101001002,120130101001002,"Block 1002, Block Group 1, Census Tract 101, Calhoun County, Florida",2.44,0.22,2.22
1000000US120130101001003,120130101001003,"Block 1003, Block Group 1, Census Tract 101, Calhoun County, Florida",3.00,0.00,3.00
1000000US120130101001004,120130101001004,"Block 1004, Block Group 1, Census Tract 101, Calhoun County, Florida",0.00,0.00,0.00
1000000US120130101001005,120130101001005,"Block 1005, Block Group 1, Census Tract 101, Calhoun County, Florida",3.00,0.00,3.00
1000000US120130101001006,120130101001006,"Block 1006, Block Group 1, Census Tract 101, Calhoun County, Florida",0.00,0.00,0.00
1000000US120130101001007,120130101001007,"Block 1007, Block Group 1, Census Tract 101, Calhoun County, Florida",2.67,0.67,2.00
1000000US120130101001008,120130101001008,"Block 1008, Block Group 1, Census Tract 101, Calhoun County, Florida",0.00,0.00,0.00
1000000US120130101001009,120130101001009,"Block 1009, Block Group 1, Census Tract 101, Calhoun County, Florida",2.40,0.20,2.20
1000000US120130101001010,120130101001010,"Block 1010, Block Group 1, Census Tract 101, Calhoun County, Florida",0.00,0.00,0.00
1000000US120130101001011,120130101001011,"Block 1011, Block Group 1, Census Tract 101, Calhoun County, Florida",0.00,0.00,0.00
1000000US120130101001012,120130101001012,"Block 1012, Block Group 1, Census Tract 101, Calhoun County, Florida",2.00,0.00,2.00
1000000US120130101001013,120130101001013,"Block 1013, Block Group 1, Census Tract 101, Calhoun County, Florida",0.00,0.00,0.00
1000000US120130101001014,120130101001014,"Block 1014, Block Group 1, Census Tract 101, Calhoun County, Florida",0.00,0.00,0.00
1000000US120130101001015,120130101001015,"Block 1015, Block Group 1, Census Tract 101, Calhoun County, Florida",4.00,1.00,3.00
