GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008
Id,Id2,Geography,Total:,1-person household,2-person household,3-person household,4-person household,5-person household,6-person household,7-or-more-person household
1000000US120390201011000,120390201011000,"Block 1000, Block Group 1, Census Tract 201.01, Gadsden County, Florida",1,1,0,0,0,0,0,0
1000000US120390201011001,120390201011001,"Block 1001, Block Group 1, Census Tract 201.01, Gadsden County, Florida",2,1,1,0,0,0,0,0
1000000US120390201011002,120390201011002,"Block 1002, Block Group 1, Census Tract 201.01, Gadsden County, Florida",0,0,0,0,0,0,0,0
1000000US120390201011003,120390201011003,"Block 1003, Block Group 1, Census Tract 201.01, Gadsden County, Florida",135,31,45,35,13,4,4,3
1000000US120390201011004,120390201011004,"Block 1004, Block Group 1, Census Tract 201.01, Gadsden County, Florida",0,0,0,0,0,0,0,0
1000000US120390201011005,120390201011005,"Block 1005, Block Group 1, Census Tract 201.01, Gadsden County, Florida",4,0,1,2,1,0,0,0
1000000US120390201011006,120390201011006,"Block 1006, Block Group 1, Census Tract 201.01, Gadsden County, Florida",6,0,2,2,1,0,1,0
1000000US120390201011007,120390201011007,"Block 1007, Block Group 1, Census Tract 201.01, Gadsden County, Florida",0,0,0,0,0,0,0,0
1000000US120390201011008,120390201011008,"Block 1008, Block Group 1, Census Tract 201.01, Gadsden County, Florida",0,0,0,0,0,0,0,0
1000000US120390201011009,120390201011009,"Block 1009, Block Group 1, Census Tract 201.01, Gadsden County, Florida",1,0,0,0,1,0,0,0
1000000US120390201011010,120390201011010,"Block 1010, Block Group 1, Census Tract 201.01, Gadsden County, Florida",0,0,0,0,0,0,0,0
1000000US120390201011011,120390201011011,"Block 1011, Block Group 1, Census Tract 201.01, Gadsden County, Florida",0,0,0,0,0,0,0,0
1000000US120390201011012,120390201011012,"Block 1012, Block Group 1, Census Tract 201.01, Gadsden County, Florida",0,0,0,0,0,0,0,0
1000000US120390201011013,120390201011013,"Block 1013, Block Group 1, Census Tract 201.01, Gadsden County, Florida",14,8,3,1,0,2,0,0
1000000US120390201011014,120390201011014,"Block 1014, Block Group 1, Census Tract 201.01, Gadsden County, Florida",1,0,1,0,0,0,0,0
1000000US120390201011015,120390201011015,"Block 1015, Block Group 1, Census Tract 201.01, Gadsden County, Florida",0,0,0,0,0,0,0,0
1000000US120390201011016,120390201011016,"Block 1016, Block Group 1, Census Tract 201.01, Gadsden County, Florida",0,0,0,0,0,0,0,0
1000000US120390201011017,120390201011017,"Block 1017, Block Group 1, Census Tract 201.01, Gadsden County, Florida",0,0,0,0,0,0,0,0
1000000US120390201011018,120390201011018,"Block 1018, Block Group 1, Census Tract 201.01, Gadsden County, Florida",0,0,0,0,0,0,0,0
1000000US120390201011019,120390201011019,"Block 1019, Block Group 1, Census Tract 201.01, Gadsden County, Florida",0,0,0,0,0,0,0,0
1000000US120390201011020,120390201011020,"Block 1020, Block Group 1, Census Tract 201.01, Gadsden County, Florida",0,0,0,0,0,0,0,0
1000000US120390201011021,120390201011021,"Block 1021, Block Group 1, Census Tract 201.01, Gadsden County, Florida",0,0,0,0,0,0,0,0
1000000US120390201011022,120390201011022,"Block 1022, Block Group 1, Census Tract 201.01, Gadsden County, Florida",9,2,3,4,0,0,0,0
1000000US120390201011023,120390201011023,"Block 1023, Block Group 1, Census Tract 201.01, Gadsden County, Florida",0,0,0,0,0,0,0,0
1000000US120390201011024,120390201011024,"Block 1024, Block Group 1, Census Tract 201.01, Gadsden County, Florida",0,0,0,0,0,0,0,0
1000000US120390201011025,120390201011025,"Block 1025, Block Group 1, Census Tract 201.01, Gadsden County, Florida",4,0,2,1,0,0,0,1
1000000US120390201011026,120390201011026,"Block 1026, Block Group 1, Census Tract 201.01, Gadsden County, Florida",0,0,0,0,0,0,0,0
1000000US120390201011027,120390201011027,"Block 1027, Block Group 1, Census Tract 201.01, Gadsden County, Florida",0,0,0,0,0,0,0,0
1000000US120390201011028,120390201011028,"Block 1028, Block Group 1, Census Tract 201.01, Gadsden County, Florida",0,0,0,0,0,0,0,0
1000000US120390201011029,120390201011029,"Block 1029, Block Group 1, Census Tract 201.01, Gadsden County, Florida",0,0,0,0,0,0,0,0
1000000US120390201011030,120390201011030,"Block 1030, Block Group 1, Census Tract 201.01, Gadsden County, Florida",0,0,0,0,0,0,0,0
1000000US120390201011031,120390201011031,"Block 1031, Block Group 1, Census Tract 201.01, Gadsden County, Florida",0,0,0,0,0,0,0,0
1000000US120390201011032,120390201011032,"Block 1032, Block Group 1, Census Tract 201.01, Gadsden County, Florida",8,4,1,2,1,0,0,0
1000000US120390201011033,120390201011033,"Block 1033, Block Group 1, Census Tract 201.01, Gadsden County, Florida",30,9,9,7,2,1,1,1
1000000US120390201011034,120390201011034,"Block 1034, Block Group 1, Census Tract 201.01, Gadsden County, Florida",0,0,0,0,0,0,0,0
1000000US120390201011035,120390201011035,"Block 1035, Block Group 1, Census Tract 201.01, Gadsden County, Florida",0,0,0,0,0,0,0,0
1000000US120390201011036,120390201011036,"Block 1036, Block Group 1, Census Tract 201.01, Gadsden County, Florida",0,0,0,0,0,0,0,0
1000000US120390201011037,120390201011037,"Block 1037, Block Group 1, Census Tract 201.01, Gadsden County, Florida",1,1,0,0,0,0,0,0
1000000US120390201011038,120390201011038,"Block 1038, Block Group 1, Census Tract 201.01, Gadsden County, Florida",5,0,1,2,1,1,0,0
1000000US120390201011039,120390201011039,"Block 1039, Block Group 1, Census Tract 201.01, Gadsden County, Florida",1,0,1,0,0,0,0,0
1000000US120390201011040,120390201011040,"Block 1040, Block Group 1, Census Tract 201.01, Gadsden County, Florida",2,1,1,0,0,0,0,0
1000000US120390201011041,120390201011041,"Block 1041, Block Group 1, Census Tract 201.01, Gadsden County, Florida",0,0,0,0,0,0,0,0
1000000US120390201011042,120390201011042,"Block 1042, Block Group 1, Census Tract 201.01, Gadsden County, Florida",0,0,0,0,0,0,0,0
1000000US120390201011043,120390201011043,"Block 1043, Block Group 1, Census Tract 201.01, Gadsden County, Florida",0,0,0,0,0,0,0,0
1000000US120390201011044,120390201011044,"Block 1044, Block Group 1, Census Tract 201.01, Gadsden County, Florida",0,0,0,0,0,0,0,0
1000000US120390201011045,120390201011045,"Block 1045, Block Group 1, Census Tract 201.01, Gadsden County, Florida",240,58,127,27,18,5,3,2
1000000US120390201011046,120390201011046,"Block 1046, Block Group 1, Census Tract 201.01, Gadsden County, Florida",0,0,0,0,0,0,0,0
1000000US120390201011047,120390201011047,"Block 1047, Block Group 1, Census Tract 201.01, Gadsden County, Florida",53,11,21,10,6,3,2,0
1000000US120390201011048,120390201011048,"Block 1048, Block Group 1, Census Tract 201.01, Gadsden County, Florida",11,1,7,1,2,0,0,0
1000000US120390201011049,120390201011049,"Block 1049, Block Group 1, Census Tract 201.01, Gadsden County, Florida",61,9,45,4,3,0,0,0
1000000US120390201011050,120390201011050,"Block 1050, Block Group 1, Census Tract 201.01, Gadsden County, Florida",16,5,7,1,3,0,0,0
1000000US120390201011051,120390201011051,"Block 1051, Block Group 1, Census Tract 201.01, Gadsden County, Florida",0,0,0,0,0,0,0,0
1000000US120390201011052,120390201011052,"Block 1052, Block Group 1, Census Tract 201.01, Gadsden County, Florida",20,5,11,3,1,0,0,0
1000000US120390201011053,120390201011053,"Block 1053, Block Group 1, Census Tract 201.01, Gadsden County, Florida",20,4,11,4,1,0,0,0
1000000US120390201011054,120390201011054,"Block 1054, Block Group 1, Census Tract 201.01, Gadsden County, Florida",24,4,13,2,3,1,1,0
1000000US120390201011055,120390201011055,"Block 1055, Block Group 1, Census Tract 201.01, Gadsden County, Florida",6,2,1,1,0,2,0,0
1000000US120390201011056,120390201011056,"Block 1056, Block Group 1, Census Tract 201.01, Gadsden County, Florida",0,0,0,0,0,0,0,0
1000000US120390201011057,120390201011057,"Block 1057, Block Group 1, Census Tract 201.01, Gadsden County, Florida",0,0,0,0,0,0,0,0
1000000US120390201011058,120390201011058,"Block 1058, Block Group 1, Census Tract 201.01, Gadsden County, Florida",16,4,9,1,1,1,0,0
1000000US120390201011059,120390201011059,"Block 1059, Block Group 1, Census Tract 201.01, Gadsden County, Florida",0,0,0,0,0,0,0,0
1000000US120390201011060,120390201011060,"Block 1060, Block Group 1, Census Tract 201.01, Gadsden County, Florida",42,14,17,5,5,0,1,0
1000000US120390201011061,120390201011061,"Block 1061, Block Group 1, Census Tract 201.01, Gadsden County, Florida",0,0,0,0,0,0,0,0
1000000US120390201011062,120390201011062,"Block 1062, Block Group 1, Census Tract 201.01, Gadsden County, Florida",0,0,0,0,0,0,0,0
1000000US120390201011063,120390201011063,"Block 1063, Block Group 1, Census Tract 201.01, Gadsden County, Florida",0,0,0,0,0,0,0,0
1000000US120390201011064,120390201011064,"Block 1064, Block Group 1, Census Tract 201.01, Gadsden County, Florida",2,1,1,0,0,0,0,0
1000000US120390201011065,120390201011065,"Block 1065, Block Group 1, Census Tract 201.01, Gadsden County, Florida",0,0,0,0,0,0,0,0
1000000US120390201011066,120390201011066,"Block 1066, Block Group 1, Census Tract 201.01, Gadsden County, Florida",0,0,0,0,0,0,0,0
1000000US120390201011067,120390201011067,"Block 1067, Block Group 1, Census Tract 201.01, Gadsden County, Florida",35,13,6,7,4,3,2,0
1000000US120390201011068,120390201011068,"Block 1068, Block Group 1, Census Tract 201.01, Gadsden County, Florida",14,3,5,5,1,0,0,0
1000000US120390201011069,120390201011069,"Block 1069, Block Group 1, Census Tract 201.01, Gadsden County, Florida",0,0,0,0,0,0,0,0
1000000US120390201011070,120390201011070,"Block 1070, Block Group 1, Census Tract 201.01, Gadsden County, Florida",1,0,1,0,0,0,0,0
1000000US120390201011071,120390201011071,"Block 1071, Block Group 1, Census Tract 201.01, Gadsden County, Florida",0,0,0,0,0,0,0,0
1000000US120390201011072,120390201011072,"Block 1072, Block Group 1, Census Tract 201.01, Gadsden County, Florida",18,6,6,3,1,2,0,0
1000000US120390201011073,120390201011073,"Block 1073, Block Group 1, Census Tract 201.01, Gadsden County, Florida",7,0,6,1,0,0,0,0
1000000US120390201011074,120390201011074,"Block 1074, Block Group 1, Census Tract 201.01, Gadsden County, Florida",0,0,0,0,0,0,0,0
1000000US120390201011075,120390201011075,"Block 1075, Block Group 1, Census Tract 201.01, Gadsden County, Florida",0,0,0,0,0,0,0,0
1000000US120390201011076,120390201011076,"Block 1076, Block Group 1, Census Tract 201.01, Gadsden County, Florida",40,7,24,3,4,1,1,0
1000000US120390201011077,120390201011077,"Block 1077, Block Group 1, Census Tract 201.01, Gadsden County, Florida",12,1,7,1,2,1,0,0
1000000US120390201011078,120390201011078,"Block 1078, Block Group 1, Census Tract 201.01, Gadsden County, Florida",0,0,0,0,0,0,0,0
1000000US120390201011079,120390201011079,"Block 1079, Block Group 1, Census Tract 201.01, Gadsden County, Florida",57,16,14,15,6,3,1,2
1000000US120390201011080,120390201011080,"Block 1080, Block Group 1, Census Tract 201.01, Gadsden County, Florida",17,1,8,4,2,2,0,0
1000000US120390201011081,120390201011081,"Block 1081, Block Group 1, Census Tract 201.01, Gadsden County, Florida",0,0,0,0,0,0,0,0
1000000US120390201011082,120390201011082,"Block 1082, Block Group 1, Census Tract 201.01, Gadsden County, Florida",0,0,0,0,0,0,0,0
1000000US120390201011083,120390201011083,"Block 1083, Block Group 1, Census Tract 201.01, Gadsden County, Florida",6,1,0,2,2,0,0,1
1000000US120390201011084,120390201011084,"Block 1084, Block Group 1, Census Tract 201.01, Gadsden County, Florida",0,0,0,0,0,0,0,0
1000000US120390201011085,120390201011085,"Block 1085, Block Group 1, Census Tract 201.01, Gadsden County, Florida",0,0,0,0,0,0,0,0
1000000US120390201011086,120390201011086,"Block 1086, Block Group 1, Census Tract 201.01, Gadsden County, Florida",0,0,0,0,0,0,0,0
1000000US120390201011087,120390201011087,"Block 1087, Block Group 1, Census Tract 201.01, Gadsden County, Florida",37,10,17,8,1,0,1,0
1000000US120390201011088,120390201011088,"Block 1088, Block Group 1, Census Tract 201.01, Gadsden County, Florida",0,0,0,0,0,0,0,0
1000000US120390201011089,120390201011089,"Block 1089, Block Group 1, Census Tract 201.01, Gadsden County, Florida",1,0,1,0,0,0,0,0
